AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
GPX4	97.4134	90.8489	63.272	37.7855	44.6869	96.2721	61.2252	93.4691	115.176	39.1329	72.2981	121.58	191.924	72.0632	83.807	103.953	99.2429	136.909	93.9468	93.1048	86.0411	56.8244	55.304	113.184	63.6358	90.9602	51.6994	46.7737	85.5163	80.4109	142.792	47.8746	66.1005	41.6543
NDUFS7	27.8494	57.606	29.1611	17.9098	11.7127	28.6733	19.0469	19.8895	27.8913	38.1814	21.2912	22.4912	51.6963	45.1675	38.334	23.5268	18.0785	28.0621	22.9146	36.9338	31.409	30.6858	20.8812	58.8182	32.3191	31.4079	16.8625	24.0425	36.7311	11.7917	25.9566	27.7419	12.655	10.4377
GAMT	12.8877	11.44	20.7639	19.8771	12.271	32.61	32.8551	26.0866	22.8759	27.6846	31.3918	0.837568	72.4868	12.9721	12.7802	12.0812	30.5666	20.5558	17.8607	13.5588	13.975	7.92754	0.723913	40.9925	33.7594	10.6443	0.838658	1.50243	29.8011	2.21145	9.26463	4.8269	11.7542	10.339
UQCR11	51.3027	47.6637	22.2081	22.9468	18.0182	38.6691	26.4395	36.2413	24.2131	35.7734	38.7158	49.1822	79.5545	53.3752	26.0931	30.9558	28.9404	23.3414	38.9225	37.6984	36.9341	23.6673	22.9212	36.0838	40.6073	35.8433	26.5848	10.546	36.7771	22.9115	14.4495	26.8874	19.1691	9.57282
DOT1L	26.764	21.6434	16.084	18.1308	12.6135	18.1757	18.5987	19.1601	18.5721	19.7749	23.2152	15.3218	25.813	23.6993	24.8536	11.1018	19.2963	18.8481	14.1213	22.4526	16.6188	17.332	17.3318	28.3389	11.6365	12.4873	18.1858	5.65878	21.2662	7.47408	8.42584	20.0259	12.5135	16.7438
PIP5K1C	9.42097	5.90523	5.83581	6.54707	3.20956	9.95339	5.52456	6.99728	15.3603	9.85034	9.97843	4.41582	13.8466	8.07061	5.60136	3.98157	10.5134	8.15765	7.26745	10.0392	5.4815	6.15584	7.34499	9.44786	6.38625	11.8415	2.44384	3.79901	7.17953	2.52202	2.53872	4.80702	4.42638	14.0403
NMRK2	0.0327369	0.0061307	0.0488907	0.014742	0.038246	0.0147722	0.0454259	0.0148603	0.139537	0.106551	0.008585	0.0156631	0.0186376	0.0253472	0.0196817	0.0295459	0.0335216	0.0357638	0.0760613	0.0507739	0	0.0057453	0.0275829	0.0211237	0.0059566	0.0081197	0	0.0152657	0.0069164	0.010599	0.209869	0.013388	0.006949	0.0513698
SIRT6	18.4018	18.3491	8.51202	8.69206	4.46702	10.2391	7.08058	6.52757	8.23899	10.643	9.47282	14.1396	27.4159	19.34	12.0957	6.75368	7.70942	13.1374	9.74518	14.7954	9.25581	8.75883	8.13601	12.8697	11.5475	8.52998	6.41106	8.40274	16.7746	4.72663	27.8602	10.5377	3.93123	9.31884
HSD11B1L	0.931902	0.652793	1.17782	1.03585	0.65117	0.638751	0.912546	0.839346	0.857046	3.02807	1.28534	0.579915	2.41096	0.529741	0.393607	5.39774	1.4993	0.777083	2.30223	0.776648	0.240118	0.425433	0.242265	0.947643	0.772687	0.886515	0.332641	0.202153	0.403739	1.5439	0.496276	0.546334	0.856362	0.541427
FUT6	0.0201146	0.020718	0.770311	0.133605	0.274162	0.0136147	0.283763	0.0205439	0.668351	0.0430712	0.258471	0.002406	0.0133601	0.0103827	0.0100776	0.0254156	0.25231	0.0109872	0.11424	0.021838	0	0.0176505	0.004237	0.0064895	0.0475786	0.0249449	0.0145438	0.0093797	0.0127489	0.0081404	0.0120891	0.0308474	0.014944	0.0157816
FUT3	0.0375656	0.0703502	0.0187007	0.0310135	0.0097528	0.0536785	0.0434386	0.0227363	0.0460949	0.0150153	0.0164189	0.0269601	0.0118815	0.0226224	0.0050189	0.0113013	0.0801377	0.0136797	0.0129304	0.0271895	0.0062936	0.0065928	0	0.0269327	0.0387326	0.0124231	0.0077605	0.0992655	0.0132276	0.0506764	0.10787	0.235562	0.007974	0.0098245
FUT5	0.006263	0.0351869	0.0320691	0	0	0.0084784	0.0086906	0.0127934	0.0218418	0.0128746	0.014782	0.0044948	0	0.0145479	0	0.0033915	0.0336691	0	0.0097011	0.0145707	0.0141652	0.0131899	0	0.0444539	0	0	0	0.0438083	0	0.0760401	0.214557	0.19594	0	0.0515959
NDUFA11	25.6792	24.7143	12.4038	13.9035	10.2357	17.3191	14.498	11.6425	13.8918	17.2762	14.6476	30.0713	33.1252	24.0915	15.9189	12.4017	13.2019	13.1964	12.7617	24.3336	15.64	15.6986	9.25129	17.9926	14.3045	16.7296	11.6593	7.16098	19.1054	28.7183	8.57649	9.85649	14.5532	6.40702
ACSBG2	0.0670005	0.115017	2.42292	0.0628573	2.77661	0.188958	0.154951	0.0709651	0.257456	0.101384	0.120065	0.0267138	0.180126	0.0864608	0.0939899	0.100783	0.0485963	0.0292782	0.109545	0.0502259	0.159955	0.0372354	0.0870305	0.105679	0.15645	0.0886292	0.0276827	0.0937301	0.0401068	0.0451921	0.0581649	0.0822008	0.0805923	0.236555
ACER1	0.0172331	0.0242047	0.01103	0.0174608	0	0.0233288	0	0	0.0100165	0.0044281	0	0	0	0.0066715	0	0.004666	0.0132346	0	0.0467129	0.0040092	0	0.0181464	0	0.0277994	0.0094068	0.0192343	0.0106803	0.0120541	0.0054613	0	0.0155359	0.0105714	0.0054871	0
PNPLA6	15.665	6.33943	17.8872	13.2338	11.4275	12.6518	14.585	5.28687	16.8805	10.6179	23.6231	8.54893	29.7488	17.7442	14.2896	19.3635	13.9222	11.4886	11.8802	30.6434	8.98886	10.8944	11.6177	19.0187	15.0105	11.5566	9.72367	10.6129	11.9221	83.8556	24.5645	11.9268	14.2975	12.7239
CERS4	4.82473	14.5403	4.33586	5.23431	3.90212	2.56984	11.1988	4.1134	4.67066	4.04757	12.0833	0.0617274	0.0396396	0.0507388	2.53379	5.52476	5.7498	1.49803	0.504348	0.179135	0.923245	0.0258766	0.0258817	6.01231	4.04879	3.62657	25.7895	6.93576	0.0804735	14.4266	0.482465	3.66817	8.29401	20.8761
NDUFA7	27.8931	39.328	28.0803	18.962	17.4211	28.1639	24.3989	27.0001	23.0927	27.6246	15.7291	42.211	42.8002	50.8842	20.6508	16.9113	27.6651	31.1537	22.3351	28.7762	21.636	23.5833	18.6442	42.3725	31.2119	34.7467	85.1909	52.3261	44.6839	97.8648	18.8154	23.9407	36.6893	10.1249
RDH8	0.00726	0	0.0092935	0	0.0042409	0.009828	0	0.0049433	0.0210988	0.003731	0	0.0156311	0	0	0.0130944	0.0078628	0	0	0	0.0236461	0.0109467	0.0076448	0.0045878	0	0.0118888	0	0.0089989	0.0050782	0.0138045	0.0246804	0.0087267	0.0089071	0.0046232	0.0085442
DNMT1	49.056	73.9555	123.827	51.9922	136.558	64.6804	59.0536	50.1879	67.5252	57.6919	72.0318	24.9943	62.4948	67.0735	89.3813	94.2919	49.14	40.2661	46.3784	114.41	57.5106	57.1555	58.064	83.8411	46.2216	49.5088	175.6	84.3107	58.5824	347.062	50.0449	22.4858	66.5755	34.1718
PDE4A	0.497382	0.22999	9.1168	3.70258	10.5695	2.17511	2.98932	2.96019	6.05791	4.41269	0.0837361	0.0631659	3.86295	2.03965	1.37087	8.32628	5.78783	8.00568	0.188641	8.53805	3.60474	0.145484	1.17704	6.5284	5.30821	5.29706	7.31061	8.5244	0.825095	22.0765	3.23166	2.58654	4.30137	0.245706
ACP5	0.0451484	0.0394569	0.0481618	0.0779359	0.0439552	0.152796	0.0661287	0.0580671	0.102051	0.0953869	0.146025	0.435628	0.0171357	0.0543776	0.0271437	0.510704	0.077051	0.0131528	0.229222	0.156386	1.04382	0.171676	0.0158502	0.0194215	0.6079	0.220228	0.040417	2.29833	0.286158	29.9461	49.174	0.0153864	0.0191673	5.31933
MAN2B1	63.8629	120.073	13.7614	55.4445	7.15947	66.3316	21.657	113.148	49.6255	104.396	30.0268	106.084	138.648	59.9963	39.6641	16.9648	127.524	48.0965	167.806	140.902	81.1424	60.8662	94.1049	140.303	103.41	17.6798	48.9357	10.3693	55.2966	28.8667	96.7878	98.1739	86.5341	94.5745
GCDH	16.1373	17.0248	8.61869	10.3436	7.93607	10.6031	6.96598	15.1365	10.8	18.1827	17.7303	16.1712	19.2988	19.8099	9.25119	40.6337	22.8872	5.37571	13.8163	19.8564	8.86535	7.89221	9.67407	15.6538	13.2944	17.9404	17.2865	3.07976	10.3331	15.8832	14.6576	6.83492	24.876	9.4471
MRI1	5.32057	4.62697	5.12828	12.1203	3.98784	7.60571	12.2465	14.4364	5.90536	11.9938	13.5578	9.23171	19.4787	19.6399	13.2255	9.45298	19.168	7.27535	14.9655	14.6218	13.5708	5.11707	15.5768	17.7606	9.47873	6.3326	8.50807	16.3005	12.8393	11.3953	8.87031	13.3258	12.3054	16.7495
TECR	58.7352	62.5592	58.0417	48.3721	61.7283	94.6733	53.7559	41.654	59.8392	83.9912	49.9643	62.2285	106.141	90.4712	72.8637	34.033	51.8498	77.8463	56.3914	72.3279	87.7366	40.8652	56.3251	64.8609	80.441	49.4108	77.6695	91.3232	50.5486	45.5386	19.8774	54.7098	97.6393	29.6285
NDUFB7	163.058	134.317	151.249	70.7353	83.0176	95.5278	67.3185	65.9384	72.6143	94.9436	76.2057	211.615	191.976	147.874	62.6903	66.6112	73.7591	76.0339	70.4421	91.7	88.0878	81.4548	59.0176	104.185	111.546	86.6957	97.1034	152.368	115.951	90.0288	57.2157	57.1039	119.904	19.924
CYP4F8	0.0238067	0.0234063	0.0190468	0.0080404	0	0.0080569	0	0.0162099	0	0.0030586	0.0093647	0.0170856	0	0.0046082	0.0143129	0.0032229	0.0045708	0.0078024	0	0.0055385	0.004487	0.0031336	0	0.0076807	0.0097463	0	0	0	0.0037723	0	0	0.003651	0	0
CYP4F3	4.59165	11.8013	0.0014687	0.04185	0.0093829	0.0186381	0.0811949	0.0078122	0.0653535	2.31488	0.0144423	2.07502	0.0457237	0.111932	0.0137958	0.0335504	0.007049	0.0165452	0.0053315	0.0085415	0.0172997	0.591991	0.046402	0.0251711	0.0551129	0.0153669	0.0654185	0.0016051	0.014544	0.0156015	0.0068956	2.42536	0.0043838	4.09135
CYP4F2	0.0739659	0.102503	0	0.0066616	0.0028804	0.0066753	0.0444754	0	0.650604	0.0152047	0	0.0106168	0.0842196	0.0878133	0.0059292	0.0720968	0.302955	0.0032322	0	0.0045888	0.0037176	0.0908669	0.0311605	0.0063636	0.244941	0.0110073	0.0244484	0.0103474	0.0375046	0.0023947	0.0296362	0.0151244	0.0125606	0.0174098
PGLS	30.5778	65.4418	33.987	28.736	20.8929	58.4089	39.7854	37.5675	16.3821	42.5243	31.3456	49.2416	137.192	72.9868	42.689	28.6193	30.7694	81.2392	40.7156	83.1452	81.7756	49.9162	101.335	121.327	52.2376	39.6045	37.117	23.4513	48.6634	63.8992	87.2977	27.9655	27.5163	41.7331
COLGALT1	77.9659	65.7256	25.567	35.1442	31.8418	131.893	47.4163	59.3656	25.5456	53.8621	59.607	77.9335	154.523	132.264	64.6655	71.9372	48.1685	57.1555	52.7666	80.7885	96.0141	50.3085	96.8828	74.2745	59.7509	37.1937	79.682	13.1555	70.9617	52.699	79.3428	52.4373	48.6851	40.9702
B3GNT3	0.129866	0.0516808	0.0519503	0.0621361	0.0347694	0.0695884	0.0563136	0.0478971	0.0912082	0.061178	0.0255424	0.0233006	0.0277255	0.0796033	0.0292788	0.758921	1.17603	0.024828	0.0125722	0.075532	0.0285562	0.0370361	0.0410328	0.0488816	0.0738421	0.0845523	0.030182	0.0340642	0.0548742	0.1603	0.0325212	0.009958	0.0103375	0.0764185
PDE4C	0.0144066	0.0182113	0.0115261	0.0206791	0.016831	0.0585075	0.0437297	0.020845	0.0575686	0.204528	0.0042503	0.0168014	0.197871	0.0529844	0.0898621	0.0575355	0.002766	0.191225	0.0362619	0.0720602	0.103182	0.0113776	0.0443814	0.0952836	0.12484	0.0241194	0.0078125	0.0352697	0.0422316	0.101449	0.0281402	0.0265126	0.0114678	0.0720582
ISYNA1	5.39074	10.4613	71.5823	2.99558	48.1006	1.17417	27.6464	16.365	46.1779	0.539213	19.4333	0.485276	3.98495	2.04	27.837	67.0526	14.01	11.7621	7.37121	0.707347	20.6932	0.451758	0.327098	4.19154	13.855	45.5419	0.988411	18.8991	1.07586	190.777	58.1583	2.10827	34.7029	0.757359
CERS1	0.826032	0.033957	0.206322	0.326614	0	2.62508	0.384399	6.68072	0.0644061	3.68596	1.26803	0.260265	0.957749	0.116995	4.3969	4.90405	6.72282	4.34478	0.429093	1.47645	1.99736	0.0424297	0	5.12202	5.76267	1.57407	8.47196	1.71222	2.70715	0.538137	4.16537	2.80548	2.72635	1.04327
NDUFA13	138.708	162.173	56.2402	72.4417	31.3475	118.608	80.5858	72.0753	58.7137	102.166	73.235	154.792	186.14	153.682	99.644	127.011	62.8816	80.1959	82.8723	132.016	95.767	91.6927	59.4631	103.619	127.161	83.1218	110.332	231.877	108.776	81.9061	126.307	66.5655	85.9145	21.1853
UQCRFS1	86.7249	86.1962	81.6606	39.552	85.3411	55.6925	42.4599	50.5291	46.1859	70.9609	44.9178	113.325	154.441	119.495	63.7548	203.495	46.2376	45.0016	47.2757	61.1202	66.1717	43.3884	62.5671	61.2803	92.0625	72.8317	55.0629	88.9663	78.462	137.826	67.6021	59.886	65.0857	32.1053
CHST8	0.0122388	0.009168	0.96873	0.0027557	0.0095323	0.0110452	0.0198131	0.0194445	0.0165984	0.0041931	0	0.0087835	0.0092903	0.0126348	0	0.013255	0	0.0053482	0.0189572	0.0056946	0.0092269	0.0042958	0.0206239	0	0.0022269	0.0091067	0.0050567	0.0085607	0.0025857	0.0079249	0.0024519	0.0050051	0	0.0528131
GPI	194.473	163.706	89.1617	157.354	92.6318	55.6178	46.661	98.7657	156.477	152.043	82.3963	152.466	200.561	90.13	100.451	467.964	116.848	194.801	65.8713	100.611	78.6222	141.765	90.5305	129.622	96.5345	78.092	72.2722	34.5535	214.186	145.722	44.0798	310.704	124.824	77.7716
GAPDHS	0	0.0117566	0	0.240294	0.0122237	0	0.0725924	0	0.0364886	0.0322621	0	0.0150181	0.0357403	0	0	0.0566587	0.0321413	0.027433	0	0.0486832	0	0.0220349	0	0.0135026	0	2.2266	0	0.0292743	0.0132632	0.0304876	0	0.0256734	0.0133258	0.0246273
ATP4A	0.0067139	0.003772	0.0042972	0.0068026	0.0078438	0.0068166	0.0116453	0.0182859	0.0136582	0.0086258	0	0.0024092	0.0114669	0.0129959	0.0020182	0.0181784	0.0025781	0.0088016	0.0025999	0.0078098	0.0050616	0.0070697	0.006364	0.0043322	0.0054972	0.0074935	0	0.0093924	0.0127661	0.0097817	0.0080702	0.0061778	0.0042755	0.0079015
COX6B1	195.663	191.993	150.963	116.594	110.822	149.832	147.584	117.955	146.524	190.859	103.292	252.035	303.199	221.688	99.4404	653.694	159.847	136.911	184.976	167.22	150.601	110.517	128.553	129.678	180.345	113.005	97.0751	133.418	194.39	293.453	132.186	159.309	163.067	42.5508
PRODH2	0.0180013	0.0067423	0	0.0081063	0.0035051	0	0.0124894	0.0040857	0.0034877	0.0061674	0.0047207	0	0.0068323	0	0.0108226	0.0064987	0.0092164	0	0	0.002792	0.0090476	0	0	0.0464619	0	0	0	0.0083943	0.0038032	0	0.0180317	0	0.0038211	0.0141236
COX7A1	0.0422543	0.0079131	0.0450745	0.0856253	0.016455	0.0572004	0.0781765	0.0479513	0.0982385	0.0289532	0.0221618	0.111192	0.12028	0.0981486	0.101615	0.16017	0.475938	0.0092322	0.174532	0.0589816	0.0424744	0.037078	0.0445024	0.0636179	0.0768827	0.0209605	0.0087291	0.0098519	0.0089271	0.0615615	0	0.0518405	0.116601	0.0497282
SIRT2	12.5411	19.3005	11.5821	8.89263	5.81981	10.7983	9.89269	8.15792	13.6634	14.2459	8.37039	5.76928	23.4158	12.6375	17.0115	12.8478	10.249	15.4259	11.8695	16.7906	12.2485	13.4768	10.7559	9.36779	12.2635	10.8669	3.81285	22.5495	7.90589	14.0627	21.6521	8.47239	6.05255	11.7164
PLD3	22.5701	62.5114	30.501	20.3945	14.4215	87.1125	34.5046	26.6938	70.2067	35.5013	20.1162	9.19765	43.8002	31.7326	56.4953	24.9213	36.0644	167.424	42.5831	139.4	110.918	39.1777	9.69584	19.0141	282.948	23.4461	6.79817	77.6068	6.32907	57.9818	118.511	14.4567	31.2762	22.3779
BLVRB	20.4964	52.7816	102.124	8.85585	26.3716	10.274	14.6386	4.03097	101.042	25.151	4.59345	4.28964	22.647	8.94683	13.8061	56.1571	8.5239	28.4658	21.9472	22.4003	19.185	26.6675	12.2575	17.4658	26.9012	57.211	1.58974	198.213	7.72127	193.609	291.123	16.2897	3.19436	11.9603
ITPKC	2.11078	4.52691	3.00982	2.51897	2.29654	2.33294	3.05075	2.59896	2.88411	3.15617	2.21315	3.08725	4.66988	3.77399	2.52886	3.13763	2.29817	3.95055	2.79354	5.0687	2.19851	2.72505	3.14046	2.02452	2.48355	3.99323	2.14559	5.289	1.38623	4.05956	4.68212	3.06028	2.0442	3.78235
CYP2A6	0.0140371	0.122238	0.0269532	0.037927	0.0450982	0	0.0827816	0.0047789	0.0326354	0.0180345	0.0331302	0.0050371	0.111881	0.0108685	0.0210981	0.0380067	0	0.018402	0.0217427	0.0293911	0.0370394	0.133029	0.0798335	0	0.0076623	0.0104448	0.0478478	0.0441837	0.0044485	0.0443107	0.0801463	0.0516651	0.0044695	0.02478
CYP2A7	0.0217388	0.0488531	0.0034785	0.0256971	0.0095239	0.0367854	0.0188531	0	0.0063177	0.002793	0	0.0039004	0.0092822	0	0	0.0147149	0.0041737	0	0.122062	0.0202298	0.0040973	0.0371978	0.0137373	0.0070136	0	0.0121316	0.0067364	0.0152057	0	0.015836	0.0522611	0.0066677	0	0.019188
CYP2B6	0.0196884	0.0044245	0.0025203	0	0	0	0.002732	0.0026812	0.0183097	0.0020236	0.0092936	0.005652	0.0112089	0.0091465	0.0047347	0	0.0090721	0.0077432	0	0.0036643	0	0.0020732	0.0099532	0	0	0.0117198	0.0268444	0.0027543	0	0	0.0094663	0.009662	0.0025076	0.0139025
CYP2A13	0.0143196	0.008045	0.0045826	0.0096726	0.0041824	0.0096924	0.0049675	0.0048751	0.0083231	0.0110385	0.0056328	0	0.0244571	0	0.0043046	0.0077543	0.0054986	0	0	0.0033314	0.0107957	0.0037696	0.0045245	0.0092398	0.0039082	0.0159825	0.0088747	0.0050081	0	0.0104314	0.0129094	0.0087842	0.0182378	0
CYP2F1	0	0.0242647	0.0078981	0	0	0.0083524	0.0428072	0	0.0143447	0.0126832	0.0145622	0.0088561	0.291548	0.0143316	0.0148377	0.0167056	0.0047384	0.0121328	0.0286706	0.0516747	0.0046516	0.0097454	0.791482	0.0955485	0.0101037	0.0413185	0.0038239	0.0129471	0.0078212	0.0089892	0.0111246	0.0189243	0.0078581	0.0290451
CYP2S1	0.138632	0.513562	18.1483	0.178507	8.40938	9.63564	19.1886	2.83773	3.43211	11.5038	0.0715747	0.133695	2.56261	2.36817	0.0182322	8.4878	10.5069	0.19594	0.0234865	0.0382995	0.32008	0.0547424	10.8165	0.122998	2.89688	1.02832	0.123508	0.0181818	1.49375	3.65453	1.14825	0.042521	0.297953	3.03364
BCKDHA	16.8646	54.9611	38.4941	20.6913	16.7952	21.3077	25.4514	17.1743	27.9527	36.5027	15.2319	15.819	60.0212	50.6772	46.1392	17.9626	17.2513	68.8015	24.8537	30.8388	32.032	24.5467	29.0525	38.8142	29.3218	25.6185	10.589	38.8815	28.5553	32.9781	33.6899	27.2364	16.8136	30.8189
PAFAH1B3	19.3627	30.2802	32.2767	16.8786	23.5088	12.998	18.6629	20.9358	22.7863	17.4892	15.9081	6.68424	31.2354	20.0588	16.7616	31.084	20.7993	9.79196	16.1632	18.3721	14.7547	15.9368	19.6778	18.1636	19.339	34.5596	10.0938	34.6649	12.3112	27.9303	22.0664	14.2307	21.9605	8.97079
ETHE1	43.3995	39.887	9.91047	12.7884	5.33776	9.08133	11.413	27.959	8.38223	12.5243	11.7333	8.42278	20.2921	25.9894	8.68774	7.04053	19.8881	7.30656	27.9337	14.0226	8.69502	20.4595	16.3831	22.3819	18.876	13.7351	6.72877	3.45931	16.0832	39.5452	2.41504	9.32064	18.3736	5.94542
CKM	0.0225424	0.0886531	5.14125	0.269008	0.987599	6.66268	0.0782	0.0051164	10.2461	0.131294	0.0591159	0.0431419	0.949695	0.203629	0.469828	2.01417	0.363553	1.60566	0.0290974	0.0699252	1.35959	0.0514304	2.07978	0.116365	1.78011	5.80919	0.265445	0.273309	0.0381006	5.84965	12.9386	0.617664	0.712976	2.33461
FKRP	2.87095	5.32516	6.53456	3.49272	3.84341	2.6889	6.06192	2.24519	6.39444	0.751402	4.29365	1.79626	3.50739	3.5633	4.94311	5.71694	2.72338	3.31777	2.49476	5.62913	3.27439	2.90014	2.20241	2.52241	3.05527	4.57276	5.96872	6.06174	2.54687	4.51068	8.1361	0.943634	3.43342	3.64165
SULT2A1	0	0.0035205	0.0040107	0	0.0036604	0.0042413	0.0130425	0	0.0072842	0.0032203	0.0049298	0	0.0142697	0	0.0037673	0.240921	0	0.0082147	0.004853	0	0	0	0.0039598	0	0.0034204	0.191165	0.0038835	0.232301	0	0	0.105449	0.0038439	0	0
PLA2G4C	0.0758175	0.0599494	0.0233648	0.394529	0.021324	0.600608	0.202617	0.766711	0.272567	0.450244	0.0883673	0.0080611	0.196636	0.215245	1.11255	0.0471389	0.265253	0.143568	0.289243	0.0587954	1.25962	0.0266119	1.16761	0.478346	0.0245248	0.21939	0.0243644	0.335872	0.186878	0.144554	0.335847	0.0361737	0.0733161	0.0561807
SULT2B1	0.166545	1.23136	0.183346	0.0269994	0.225704	0.193892	0.0693299	0.0589681	0.0735693	0.338934	0	0.0478104	0.466497	0.108319	0.100129	0.288599	0.0153484	0.279467	0.0464344	0.0929904	0.21094	0.0701487	0.138922	0.0730758	0.200002	0.0495694	0.0660592	0.0838757	0.0844472	0.168234	0.0480458	0.151204	0.0381807	0.188164
SPHK2	4.90894	8.53581	5.77945	2.69975	3.8383	3.79219	6.39388	2.6571	3.45546	3.31614	6.81598	4.18189	10.1874	6.07038	6.02683	6.28842	4.38883	4.88556	3.62351	9.64314	3.23577	3.81233	4.04221	3.57513	3.57223	5.07374	25.1053	2.90303	3.83541	5.54353	3.60496	2.28338	3.39862	3.05363
FUT2	0.276278	0.324923	0.367808	0.298591	0.219485	0.104721	0.58016	0.283429	0.308318	0.153341	0.368056	0.0132186	0.461381	0.128348	0.150598	0.18751	0.166911	0.197996	0.918641	0.344513	0.141636	0.224978	0.0535399	0.130731	0.235261	0.282321	0.305922	0.0489564	0.0607046	0.0751366	0.0951997	0.23727	0.326069	0.108382
FUT1	0.0516041	0.768291	20.2964	0.631305	11.2572	0.0562741	0.413725	0.0624659	21.4424	0.0397798	0.038343	0.0432077	0.233399	0.215316	0.0827331	6.00341	2.02117	0.060134	0.0377456	0.068031	0.0367433	0.0271695	0.0434798	0.0258983	0.0250386	2.99929	2.50881	0.108287	0.021805	5.42296	0.878747	0.0316557	1.52443	0.428497
BCAT2	16.573	19.7725	18.2804	12.0156	15.3939	6.68598	8.63541	12.4181	16.0029	10.1276	19.0622	13.6353	14.3873	13.0836	9.85951	12.5953	14.4336	10.7466	13.8179	14.2337	8.04778	6.2554	4.47552	6.80753	10.0549	17.0186	10.1995	11.1285	10.6453	18.873	6.01968	18.0528	24.2175	8.82233
DHDH	0.287949	0.892998	1.56287	0.0466807	0.834289	0.155921	0.32764	0.0313702	1.41257	0.0769496	0.0543692	0.0330648	0.209835	0.0445901	0.463956	0.143455	0.0265366	0.536034	0.0089203	0.101825	0.277871	0.0363852	0.160126	0.0668884	0.194902	5.97352	0.0142767	0.241695	0.0365014	0.704797	0.546871	0.176638	0.176034	0.0813316
GYS1	31.7046	33.7539	13.3918	12.9341	12.4743	24.6786	20.368	16.4416	12.442	14.8732	20.2603	21.3651	39.0859	17.6662	14.1867	23.8919	21.2462	53.7875	21.2104	19.5332	14.9013	11.0649	19.0365	18.0885	17.191	19.4667	13.9861	10.2281	28.8581	19.6452	6.06455	25.5739	16.1347	36.2097
CPT1C	0.100531	0.0481126	0.0452794	0.0326956	0.0608993	0.0756058	0.0774985	0.248452	0.138505	0.107155	0.0585856	0.0774932	0.105988	0.0980182	0.105211	0.409301	0.0343135	0.0756581	0.0173018	0.14899	0.0898262	0.0333259	0.0305874	0.050453	0.0447133	0.0443278	0.0484591	0.0416703	0.0707978	0.0090411	0.0604201	0.0296925	0.0877297	0.0438195
IL4I1	0.0503181	1.49201	0.121667	0.196379	0.0522541	0.321661	0.131885	0.148466	0.34446	0.114929	0.668575	0.0882743	11.2009	2.05188	4.46045	0.463217	0.107342	1.45855	0.212169	0.611327	14.2341	0.0382668	3.20798	0.165948	1.94402	0.0956821	0.388079	0.136874	1.92772	0.135759	0.100806	0.068593	0.0783273	0.328991
ASPDH	0.0891474	0.350592	0.0190195	0.0735985	0.0231444	0.415677	0.350488	0.114656	0.0575728	0.0661755	0.0701349	0.0568705	0.293239	0.0153387	0.077417	0.177008	0.0760703	0.0649269	0.0997275	0.202789	0.0373383	0.161668	0.0375562	0.166177	0.0594755	0.0515924	0.0061389	0.0623563	0.0439468	0.192417	0.0654849	0.109372	0	0.151545
