category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Human Diseases	Infectious disease: viral	hsa05170	Human immunodeficiency virus 1 infection	66/2714	213/8542	0.624127045894844	0.954702811728977	0.818436001307244	596/995/891/983/9133/1111/578/811/2353/54205/1174/2776/3984/3725/4773/2791/9582/5595/5881/10000/91860/4776/54331/5295/3710/3708/8945/55970/3654/5335/7186/920/7133/5579/6921/7099/2775/6500/637/27350/805/5600/51135/3661/51806/842/3133/130340/2771/1073/8454/2923/7132/3709/10681/8737/59345/2787/4772/5829/4615/472/810/6923/106821730/4893	66
Organismal Systems	Endocrine system	hsa04916	Melanogenesis	31/2714	101/8542	0.629390515666936	0.956809262429651	0.820241793714295	1910/8322/111/2776/4286/4254/115/5595/8326/91860/2778/64764/196883/7481/108/5579/2775/805/7482/51806/2771/5330/1857/7475/107/8325/109/810/112/5566/4893	31
Human Diseases	Cancer: specific types	hsa05213	Endometrial cancer	18/2714	59/8542	0.630849973679066	0.956809262429651	0.820241793714295	51426/578/8313/1643/5595/10000/3611/5295/595/5728/6655/1647/842/2002/1026/5170/369/4893	18
Cellular Processes	Transport and catabolism	hsa04144	Endocytosis	78/2714	252/8542	0.635131045756302	0.956809262429651	0.820241793714295	7048/857/157/6642/9135/116985/2869/81873/57180/408/4088/3480/3800/30844/858/64744/10254/30846/116986/9525/6643/51028/8395/3799/10890/9146/5869/8027/23327/51652/8766/7037/375/653857/1601/156/9744/5878/381/5119/2350/92421/30845/83737/5337/22841/4734/9230/11311/57403/118813/55737/80223/3133/9815/8394/9765/273/91782/10193/868/440073/9265/27128/6714/5868/84249/9922/2868/7456/147179/1175/56904/6457/2060/3304/8729/84552	78
Metabolism	Global and overview maps	hsa01210	2-Oxocarboxylic acid metabolism	10/2714	33/8542	0.636105880839657	0.956809262429651	0.820241793714295	84706/5160/55526/3418/48/55753/51166/2806/1743/587	10
Human Diseases	Infectious disease: bacterial	hsa05134	Legionellosis	17/2714	56/8542	0.639299079755592	0.957622272994892	0.820938761511877	3329/664/54205/718/4671/375/7099/2920/57396/842/929/1195/3684/1917/1915/4615/3304	17
Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	20/2714	66/8542	0.646542434568944	0.964470325947887	0.82680937696072	3725/4088/3566/3109/7043/64127/7099/3115/2625/3111/3459/3108/8809/6775/3117/7040/3123/4772/3113/3119	20
Cellular Processes	Cellular community - eukaryotes	hsa04550	Signaling pathways regulating pluripotency of stem cells	44/2714	144/8542	0.654483378592227	0.972298352558822	0.833520092294194	3572/8322/3479/5013/8313/3977/4088/3480/3399/5595/8326/10000/3397/4211/5295/3716/3625/91/7481/92/9314/4093/3720/5080/1852/130399/6926/4089/5600/7482/84333/652/9869/3400/1857/1749/7475/84108/2260/5460/8325/6929/3718/4893	44
Environmental Information Processing	Signal transduction	hsa04071	Sphingolipid signaling pathway	37/2714	122/8542	0.667666243114391	0.97611885109469	0.83679528275795	596/1901/340485/4846/2776/6609/624/5595/5881/10000/5295/427/5528/5728/7186/5516/123099/2205/5579/637/5600/4363/5337/81537/9846/2771/5330/2206/5521/8877/7132/2534/5170/259230/134/4217/4893	37
NA	NA	hsa03273	Virion - Lassa virus and SFTS virus	5/2714	17/8542	0.670758982059814	0.97611885109469	0.83679528275795	4629/7037/4627/30835/5099	5
NA	NA	hsa04081	Hormone signaling	67/2714	219/8542	0.6722687761567	0.97611885109469	0.83679528275795	30061/4881/5745/2099/3953/3479/2690/10411/111/185/150/7434/7068/2776/10266/5592/3481/10268/554/3690/9630/115/2791/3480/2778/54331/154/3952/5295/196883/2696/2852/55970/8660/9370/108/11069/4093/7067/2057/57817/3667/6777/2100/2775/6567/4089/552/2771/6752/5330/10681/4880/59345/1813/107/51738/6714/3643/2787/147/109/112/5566/4882/7066/51094	67
Environmental Information Processing	Signal transduction	hsa04150	mTOR signaling pathway	48/2714	158/8542	0.676379105772585	0.97611885109469	0.83679528275795	8322/64798/3479/81617/6502/8140/96459/3480/6009/5595/8326/10000/5295/54541/7248/9296/6196/28956/652968/7481/9675/9681/5728/6655/3667/153129/5579/245973/6396/1975/51256/7482/92335/6520/6446/1977/7132/1857/90423/81929/57600/7475/253260/5170/3643/534/8325/4893	48
Metabolism	Carbohydrate metabolism	hsa00051	Fructose and mannose metabolism	10/2714	34/8542	0.678034916497795	0.97611885109469	0.83679528275795	26007/2203/7167/4351/5210/5208/2762/55556/5207/441282	10
Metabolism	Lipid metabolism	hsa00564	Glycerophospholipid metabolism	31/2714	103/8542	0.678558810060858	0.97611885109469	0.83679528275795	23171/8613/8681/2819/23761/8611/253558/79888/57678/375775/8398/8527/11313/85465/5833/9791/5337/1606/151056/10390/1120/122618/56261/10434/2820/9468/259230/8605/56985/255189/162466	31
Human Diseases	Infectious disease: parasitic	hsa05142	Chagas disease	31/2714	103/8542	0.678558810060858	0.97611885109469	0.83679528275795	7048/811/2353/2776/3725/9630/624/5595/10000/2778/5295/718/3654/5516/7043/7099/2775/5600/51135/3459/2771/5330/8837/5521/2774/7132/1636/5054/107/7040/4615	31
Genetic Information Processing	Transcription	hsa03022	Basal transcription factors	13/2714	44/8542	0.678790537387669	0.97611885109469	0.83679528275795	902/6882/6874/54457/6878/2960/6875/6877/27097/728340/8148/2968/2957	13
Metabolism	Lipid metabolism	hsa00600	Sphingolipid metabolism	16/2714	54/8542	0.681390444531474	0.97611885109469	0.83679528275795	8613/340485/55627/6609/2531/7357/8611/427/7368/2581/2583/123099/81537/8877/259230/55512	16
Organismal Systems	Development and regeneration	hsa04380	Osteoclast differentiation	43/2714	143/8542	0.699730534030498	0.994229116465712	0.852320630531913	2354/7048/2353/4286/3725/3690/4773/3726/5595/10000/9020/1513/5295/3716/3710/3708/3554/1436/29760/7186/1435/5468/2274/3727/5600/3459/9021/2355/9846/4689/695/54/10990/7132/3709/3932/814/2534/6688/7040/4772/487/7297	43
Human Diseases	Infectious disease: viral	hsa05168	Herpes simplex virus 1 infection	55/2714	182/8542	0.701362951389485	0.994229116465712	0.852320630531913	6732/596/6430/578/811/10189/54205/3690/727/5199/6426/6009/10000/5295/3716/7248/6041/718/6427/3654/7186/3109/8764/3115/637/5500/3111/27102/51135/3661/5501/10482/3459/842/10929/9021/64135/3108/3133/64170/2923/6428/7132/3117/29915/5452/6714/8740/3123/5610/3113/7297/4615/3119/330	55
Metabolism	Metabolism of cofactors and vitamins	hsa00760	Nicotinate and nicotinamide metabolism	11/2714	38/8542	0.703156640913895	0.994229116465712	0.852320630531913	316/23098/5167/683/23410/83594/51547/23408/4860/64802/4837	11
Human Diseases	Cancer: specific types	hsa05221	Acute myeloid leukemia	20/2714	68/8542	0.705048902535242	0.994229116465712	0.852320630531913	890/862/8864/7704/5595/10000/5295/1848/1436/595/6655/6777/5914/861/929/3684/6688/369/3728/4893	20
Environmental Information Processing	Signal transduction	hsa04064	NF-kappa B signaling pathway	31/2714	105/8542	0.724102414143667	1	0.857267823297857	596/60401/1459/6387/9020/3554/29760/3654/5335/7186/29775/5579/1647/7535/7099/1460/2920/51135/8837/929/695/7132/3932/8737/8740/4615/7706/472/330/84433/27040	31
Cellular Processes	Cell growth and death	hsa04216	Ferroptosis	12/2714	42/8542	0.725474282809959	1	0.857267823297857	30061/2730/7419/7417/7037/440738/23657/2937/6520/5621/1536/4891	12
Organismal Systems	Nervous system	hsa04726	Serotonergic synapse	34/2714	115/8542	0.727365584891694	1	0.857267823297857	1843/4128/10411/8681/111/2776/775/260293/2791/5595/2778/54331/3710/3708/55970/3357/774/5579/2775/2771/5330/3709/10681/239/59345/2787/8605/3363/369/778/5566/255189/7220/4893	34
Human Diseases	Infectious disease: bacterial	hsa05150	Staphylococcus aureus infection	30/2714	102/8542	0.730377978311868	1	0.857267823297857	1675/10747/5648/727/721/720/3426/3075/6403/718/3109/3115/3111/3108/3868/715/3117/2358/3684/5724/3123/6404/3113/25984/3880/3861/3683/716/3119/719	30
Environmental Information Processing	Signal transduction	hsa04012	ErbB signaling pathway	25/2714	86/8542	0.741866421098614	1	0.857267823297857	3725/5595/10000/145957/5295/25/5335/6655/2066/5579/6777/8440/374/25759/1839/2002/1026/2549/868/685/6714/369/1027/106821730/4893	25
Human Diseases	Infectious disease: bacterial	hsa05152	Tuberculosis	54/2714	182/8542	0.755263258650217	1	0.857267823297857	596/3329/54205/4360/5595/8767/10000/91860/3716/535/1263/718/3654/1054/5869/3109/7043/64127/7099/3115/1051/637/23365/5878/8844/3111/805/5600/51135/3587/30835/51806/3459/4261/842/3108/8877/929/64170/7132/3117/3684/3656/6714/5868/7040/64581/3123/3113/3313/4615/3119/810/50617	54
Human Diseases	Cancer: overview	hsa05203	Viral carcinogenesis	61/2714	205/8542	0.757713530317222	1	0.857267823297857	3572/898/991/1960/890/983/2934/1111/5933/6502/578/9134/3066/3725/1029/5902/1017/5595/1019/5925/5295/3716/64764/7337/51564/718/7419/595/2960/7186/7531/7534/894/5934/6777/1959/3516/3661/5423/55869/3133/1026/27044/728340/5315/7532/23513/2968/5700/6714/10971/5610/5829/1739/3718/2957/1027/5566/8841/4893/55697	61
Metabolism	Lipid metabolism	hsa00071	Fatty acid degradation	12/2714	43/8542	0.757801040332066	1	0.857267823297857	36/1374/125/8310/113612/39/126/35/10455/224/1376/37	12
Cellular Processes	Transport and catabolism	hsa04142	Lysosome	39/2714	133/8542	0.757869743449885	1	0.857267823297857	8722/1657/22901/1515/1174/6609/1203/2799/3373/3423/57707/8692/1513/3988/427/535/2517/1519/2581/23335/55353/11154/4669/8372/1512/130340/84572/9741/54/3425/967/7805/1200/1511/5538/9583/50617/5641/4891	39
Organismal Systems	Immune system	hsa04672	Intestinal immune network for IgA production	14/2714	50/8542	0.763487375288657	1	0.857267823297857	2826/6387/9020/3109/3115/3111/23308/3108/3117/7040/3123/3113/3676/3119	14
Metabolism	Lipid metabolism	hsa00592	alpha-Linolenic acid metabolism	7/2714	26/8542	0.767239604822767	1	0.857267823297857	8681/8310/9415/8398/151056/8605/255189	7
Human Diseases	Cancer: specific types	hsa05226	Gastric cancer	44/2714	150/8542	0.767556372046586	1	0.857267823297857	1869/1871/898/596/7048/8322/3082/1870/51426/578/10023/8313/9134/4088/1017/1643/5595/8326/10000/5925/2252/5295/2255/7481/595/5243/6655/7043/1647/2246/4089/7482/25759/1026/1857/2549/7475/7040/369/8325/1027/8817/3728/4893	44
Human Diseases	Infectious disease: viral	hsa05167	Kaposi sarcoma-associated herpesvirus infection	58/2714	196/8542	0.769360318320349	1	0.857267823297857	1869/3572/1871/7422/1870/578/2353/54205/3725/7538/4773/2791/5595/10000/1019/91860/4776/54331/5925/5295/3716/57580/3710/3708/5294/55970/22863/718/595/5335/7186/7314/8678/440738/637/2920/805/5600/3661/23533/51806/3459/842/285/3133/1026/7132/3709/10681/59345/6714/2787/4772/131450/5610/7297/810/4893	58
Human Diseases	Endocrine and metabolic disease	hsa04930	Type II diabetes mellitus	13/2714	47/8542	0.775114451337923	1	0.857267823297857	775/8835/6517/5595/5295/8913/8660/9370/774/3667/9021/5315/3643	13
Environmental Information Processing	Signal transduction	hsa04310	Wnt signaling pathway	51/2714	174/8542	0.783254199090921	1	0.857267823297857	8322/166336/23500/4163/10023/8313/27123/3725/27101/64321/1459/4088/4773/147495/8607/5881/6423/8326/5176/4776/2487/8945/7481/595/6424/84870/57216/894/5579/102800317/4919/7091/1460/6500/4089/7482/54894/5330/8454/23002/1857/7475/284654/5663/4772/8325/51701/2239/5566/1488/1487	51
Metabolism	Amino acid metabolism	hsa00290	Valine, leucine and isoleucine biosynthesis	1/2714	4/8542	0.783380375846591	1	0.857267823297857	587	1
Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	12/2714	44/8542	0.787429978936215	1	0.857267823297857	3329/1363/5799/3109/3115/3111/3108/3133/3117/3123/3113/3119	12
Metabolism	Metabolism of cofactors and vitamins	hsa00130	Ubiquinone and other terpenoid-quinone biosynthesis	3/2714	12/8542	0.787526501221712	1	0.857267823297857	10229/27235/51004	3
Genetic Information Processing	Information processing in viruses	hsa03265	Virion - Ebolavirus, Lyssavirus and Morbillivirus	3/2714	12/8542	0.787526501221712	1	0.857267823297857	4804/81607/30835	3
Human Diseases	Infectious disease: bacterial	hsa05131	Shigellosis	74/2714	250/8542	0.792475456555876	1	0.857267823297857	596/664/54205/3725/81873/57180/5217/2308/84812/9844/7416/7336/9252/5595/1793/8767/10000/3611/7094/5295/3710/3708/8945/3554/22863/718/7334/5335/10398/7186/7314/92610/4671/10163/54874/375/653857/8678/440738/7099/10241/6500/7322/5600/3661/3059/831/4303/23048/11335/5216/5330/51196/8454/929/9181/7132/3709/4636/8737/9265/27128/6714/7335/11146/5829/100132074/114548/4615/25851/472/10392/837/81858	74
Metabolism	Carbohydrate metabolism	hsa00650	Butanoate metabolism	7/2714	27/8542	0.803217853359717	1	0.857267823297857	18/54988/3155/39/35/116285/3157	7
Human Diseases	Infectious disease: viral	hsa05160	Hepatitis C	46/2714	159/8542	0.805154733292553	1	0.857267823297857	1869/1871/7122/1870/578/5010/54205/1017/5595/10000/1019/5925/5295/3716/6041/9080/595/7186/5516/6655/7531/7534/637/27102/23562/3661/137075/8554/842/9021/1026/3646/8837/5521/1366/7532/7132/8737/10197/1365/10971/5610/369/7297/1364/4893	46
Human Diseases	Infectious disease: viral	hsa05164	Influenza A	50/2714	173/8542	0.815934187224119	1	0.857267823297857	3838/90865/578/54205/292/7416/5595/10000/1019/5295/3716/7514/6041/8480/3109/7177/8766/29107/5579/7099/3115/10241/637/103/2224/3111/51135/3661/10482/9230/3459/4261/842/9021/64135/3108/7132/64499/3117/3123/10898/5610/3113/7297/114548/55916/4615/7706/3119/51284	50
Human Diseases	Cancer: overview	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	25/2714	90/8542	0.823894231013933	1	0.857267823297857	2353/3725/1459/4773/5595/10000/5295/3716/4215/4794/5335/5728/920/7535/7099/1460/116071/5600/3459/3932/10538/4772/4615/27040/4893	25
Metabolism	Amino acid metabolism	hsa00380	Tryptophan metabolism	11/2714	42/8542	0.827130753005264	1	0.857267823297857	316/4128/11185/55526/847/39/3620/51166/224/56267/1743	11
Metabolism	Global and overview maps	hsa01240	Biosynthesis of cofactors	44/2714	154/8542	0.828261883737359	1	0.857267823297857	29968/4830/8836/3145/1503/122481/6472/80308/4337/10797/10229/25902/1352/53354/26289/2730/27010/8566/1355/11019/27235/4831/4351/3620/51004/790/158067/7358/224/249/4338/2235/2937/200895/210/204/1719/64802/9054/10243/9249/7372/4522/587	44
Genetic Information Processing	Information processing in viruses	hsa03266	Virion - Herpesvirus	2/2714	9/8542	0.833838004056929	1	0.857267823297857	3690/8764	2
Organismal Systems	Endocrine system	hsa04910	Insulin signaling pathway	39/2714	138/8542	0.837740871691214	1	0.857267823297857	3991/32/8835/2308/5564/6517/6009/5595/10000/91860/2203/5295/7248/8660/10580/6655/3667/5140/8569/5500/805/25759/5501/51806/9021/10603/2002/5837/1977/31/868/5170/3643/5255/369/810/5566/3632/4893	39
Human Diseases	Cancer: overview	hsa05207	Chemical carcinogenesis - receptor activation	62/2714	215/8542	0.843923218231744	1	0.857267823297857	1869/993/7422/596/990/332/3838/2099/111/5241/2949/2353/775/367/3725/2053/408/2946/7184/115/5595/10000/2778/154/5925/2252/5295/64764/196883/10728/182/2255/6196/54567/108/9314/595/1136/6655/3837/774/5579/2947/6777/2100/9049/9970/2771/119391/3326/196/107/6714/109/778/2052/8817/112/5566/3320/3840/4893	62
Organismal Systems	Immune system	hsa04625	C-type lectin receptor signaling pathway	29/2714	105/8542	0.84758315449832	1	0.857267823297857	1960/3725/4773/5595/10000/91860/4776/9020/5295/3710/3708/1263/1959/23365/6237/8844/805/5600/30835/51806/64170/3709/868/6714/64581/4772/114548/810/4893	29
Organismal Systems	Digestive system	hsa04972	Pancreatic secretion	29/2714	106/8542	0.862111460637627	1	0.857267823297857	111/5874/490/2776/482/477/115/280/2778/196883/3710/3708/3778/108/3784/683/8766/5579/8671/1359/5330/493/1131/3709/107/487/109/112/7220	29
Genetic Information Processing	Transcription	hsa03040	Spliceosome	62/2714	217/8542	0.864715650009598	1	0.857267823297857	6636/6631/55110/6430/6637/6626/10189/6632/10713/6625/51639/4116/10262/84991/6426/51645/57819/6635/6634/6628/10915/25804/10084/6633/6427/3183/10291/9775/4686/6627/22827/10285/6629/23350/10465/84321/4670/23658/23450/10929/10569/10946/84844/51690/9939/1655/25949/55660/6428/9343/3192/9785/11157/8896/10450/56259/9716/8559/220988/3304/6100/988	62
Organismal Systems	Digestive system	hsa04979	Cholesterol metabolism	13/2714	51/8542	0.869282405564918	1	0.857267823297857	4035/948/7416/3988/29116/7419/7417/4043/19/344/5360/6646/4023	13
Metabolism	Lipid metabolism	hsa00061	Fatty acid biosynthesis	4/2714	18/8542	0.872004938696337	1	0.857267823297857	32/84869/7923/31	4
Metabolism	Energy metabolism	hsa00920	Sulfur metabolism	2/2714	10/8542	0.876502257776888	1	0.857267823297857	6821/9061	2
Metabolism	Global and overview maps	hsa01250	Biosynthesis of nucleotide sugars	9/2714	37/8542	0.877208885270371	1	0.857267823297857	2821/55907/140838/4351/2762/7358/6675/2582/54187	9
Human Diseases	Infectious disease: parasitic	hsa05143	African trypanosomiasis	9/2714	37/8542	0.877208885270371	1	0.857267823297857	2776/3910/3043/3620/5579/3040/7064/5330/4615	9
Organismal Systems	Immune system	hsa04062	Chemokine signaling pathway	54/2714	193/8542	0.890285824154804	1	0.857267823297857	157/111/2826/2776/2869/6358/10235/408/10451/6387/115/2791/9844/5595/5881/10000/54331/5295/1524/196883/57580/5294/55970/108/5335/9547/6655/5579/6777/156/2920/23533/25759/6364/7409/2771/5330/10681/59345/6374/107/6714/2787/10663/5829/2868/2829/7454/109/3718/112/5566/729230/4893	54
Organismal Systems	Endocrine system	hsa04920	Adipocytokine signaling pathway	18/2714	70/8542	0.890873920628698	1	0.857267823297857	3953/32/1374/948/5564/6517/10000/3952/6513/8660/9370/4794/7186/7133/3667/9021/7132/51094	18
Environmental Information Processing	Signal transduction	hsa04668	TNF signaling pathway	32/2714	119/8542	0.895912979699962	1	0.857267823297857	192111/2353/3725/2277/9252/3726/79651/5595/10000/9020/5295/64764/182/7424/7186/1435/7133/64127/1051/2920/5600/83737/6364/9021/8809/8837/7132/8737/6374/11035/330/4217	32
Organismal Systems	Immune system	hsa04612	Antigen processing and presentation	21/2714	81/8542	0.897108247310798	1	0.857267823297857	811/3309/3109/821/920/3115/3111/4261/3108/3133/2923/3326/3117/10197/3123/3113/3119/3320/5641/3308/3304	21
Metabolism	Biosynthesis of other secondary metabolites	hsa00232	Caffeine metabolism	1/2714	6/8542	0.89921299902488	1	0.857267823297857	9	1
Metabolism	Amino acid metabolism	hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis	1/2714	6/8542	0.89921299902488	1	0.857267823297857	2806	1
Human Diseases	Endocrine and metabolic disease	hsa04931	Insulin resistance	29/2714	109/8542	0.899434023488148	1	0.857267823297857	32/376497/1374/948/4846/2308/5564/6517/10000/5295/64764/6196/6513/8660/5728/10724/3667/5579/5500/5501/9021/200186/5837/6945/7376/7132/5170/3643/11000	29
Human Diseases	Infectious disease: bacterial	hsa05120	Epithelial cell signaling in Helicobacter pylori infection	18/2714	71/8542	0.904436919270989	1	0.857267823297857	83700/58494/3725/9020/535/9296/5335/245973/2920/50848/5600/1839/90423/7082/6714/534/10392/50617	18
Environmental Information Processing	Signal transduction	hsa04630	JAK-STAT signaling pathway	46/2714	168/8542	0.907673394053723	1	0.857267823297857	3572/316/596/2273/3953/2690/3977/8835/3590/3570/10000/3952/5295/5159/3716/10254/5154/3563/3589/595/2057/85480/8027/3566/6655/894/6777/2670/23529/53832/3587/8554/3459/9021/1026/6775/3575/1439/7297/1489/3718/11009/5008/53833/3597/7066	46
Human Diseases	Immune disease	hsa05330	Allograft rejection	9/2714	39/8542	0.913523602952433	1	0.857267823297857	3109/3115/3111/3108/3133/3117/3123/3113/3119	9
Environmental Information Processing	Signaling molecules and interaction	hsa04061	Viral protein interaction with cytokine and cytokine receptor	26/2714	100/8542	0.914303427860941	1	0.857267823297857	3572/2826/8794/6358/6387/3570/1524/1436/9547/1435/7133/8764/2920/51554/53832/3587/6364/57007/8809/7132/6374/8740/2829/11009/53833/729230	26
Cellular Processes	Cell growth and death	hsa04217	Necroptosis	43/2714	159/8542	0.917573287845737	1	0.857267823297857	596/8681/192111/90865/2746/292/6609/7416/3716/9525/7419/5478/7417/7186/51652/6777/9131/7099/637/5119/92421/27005/3459/5837/8837/1536/91782/7132/6775/3326/8737/2752/8605/81030/5610/11035/7297/114548/3718/330/3320/255189/81858	43
Metabolism	Glycan biosynthesis and metabolism	hsa00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	5/2714	24/8542	0.919943381093676	1	0.857267823297857	9653/126792/64131/2134/9394	5
Organismal Systems	Excretory system	hsa04966	Collecting duct acid secretion	6/2714	28/8542	0.92088207496453	1	0.857267823297857	535/9296/245973/90423/534/50617	6
Cellular Processes	Transport and catabolism	hsa04136	Autophagy - other	7/2714	32/8542	0.922768463978744	1	0.857267823297857	55102/3476/5516/8678/285973/23710/23130	7
Metabolism	Xenobiotics biodegradation and metabolism	hsa00983	Drug metabolism - other enzymes	20/2714	81/8542	0.935309359398043	1	0.857267823297857	4830/7084/6241/7083/2949/3251/2946/9/4831/1571/2947/8833/7371/1806/119391/1807/6240/1066/2950/7372	20
Organismal Systems	Sensory system	hsa04744	Phototransduction	6/2714	29/8542	0.936201122328695	1	0.857267823297857	91860/9187/5158/805/51806/810	6
Metabolism	Carbohydrate metabolism	hsa00010	Glycolysis / Gluconeogenesis	16/2714	67/8542	0.93947536850666	1	0.857267823297857	2821/5160/2597/125/5230/2203/7167/2023/126/387712/224/3945/5315/221/5223/3939	16
Genetic Information Processing	Chromosome	hsa03082	ATP-dependent chromatin remodeling	30/2714	117/8542	0.939791822232689	1	0.857267823297857	8099/86/51377/3066/23506/55257/84295/8607/6944/29117/8193/283899/64431/8295/10524/5931/6597/11176/404281/26039/6760/54617/10856/79913/54107/9031/29994/54556/6599/26122	30
Organismal Systems	Endocrine system	hsa04917	Prolactin signaling pathway	17/2714	71/8542	0.942621792163401	1	0.857267823297857	2099/2353/8835/5595/10000/5295/2001/595/6655/894/6777/2100/5600/25759/9021/6714/4893	17
Human Diseases	Infectious disease: viral	hsa05162	Measles	36/2714	139/8542	0.946355744915304	1	0.857267823297857	898/596/578/2353/54205/9134/3725/1459/1017/10000/1019/5295/3716/3654/595/894/9367/6777/7099/1460/637/103/27102/51135/3661/30835/842/64135/868/5610/7297/3718/4615/1027/51284/3304	36
Metabolism	Lipid metabolism	hsa00591	Linoleic acid metabolism	6/2714	30/8542	0.948823410929073	1	0.857267823297857	8681/1571/8398/151056/8605/255189	6
Organismal Systems	Immune system	hsa04660	T cell receptor signaling pathway	31/2714	122/8542	0.949521472809349	1	0.857267823297857	2353/3725/10451/4773/5595/10000/1019/9020/5295/4794/5335/5528/5516/6655/920/7535/5788/8440/5600/7409/5521/3932/868/2534/5170/4772/1739/84433/106821730/27040/4893	31
Organismal Systems	Immune system	hsa04662	B cell receptor signaling pathway	22/2714	91/8542	0.956149386862651	1	0.857267823297857	2353/3725/10451/4773/5595/5881/10000/5295/3635/29760/4794/6655/5579/55024/7409/695/10990/974/4772/973/84433/4893	22
Metabolism	Glycan biosynthesis and metabolism	hsa00511	Other glycan degradation	3/2714	18/8542	0.9564771084938	1	0.857267823297857	4123/23324/2517	3
Metabolism	Xenobiotics biodegradation and metabolism	hsa00982	Drug metabolism - cytochrome P450	17/2714	73/8542	0.957716563441641	1	0.857267823297857	316/4128/2949/125/2330/2946/1571/126/1577/2947/2327/2326/119391/221/2329/27306/2950	17
Metabolism	Carbohydrate metabolism	hsa00040	Pentose and glucuronate interconversions	7/2714	36/8542	0.966815161503758	1	0.857267823297857	9365/51084/9942/6120/7358/55277/441282	7
Organismal Systems	Nervous system	hsa04721	Synaptic vesicle cycle	18/2714	79/8542	0.9705398605036	1	0.857267823297857	6844/57030/10815/6538/535/9296/6812/774/245973/6512/6804/6530/6505/90423/534/1175/50617/6539	18
Cellular Processes	Transport and catabolism	hsa04140	Autophagy - animal	43/2714	169/8542	0.971052361693447	1	0.857267823297857	596/23339/64798/664/55102/53349/8897/3480/4077/6009/5595/10000/5295/54541/7248/3708/55823/89849/26003/8660/22863/3476/57617/2081/5728/7314/5516/3667/8678/440738/10241/6237/285973/56270/10652/8837/5170/23710/23130/9821/5566/203228/4893	43
Human Diseases	Immune disease	hsa05332	Graft-versus-host disease	9/2714	45/8542	0.972946623500488	1	0.857267823297857	3109/3115/3111/3108/3133/3117/3123/3113/3119	9
Metabolism	Lipid metabolism	hsa00561	Glycerolipid metabolism	14/2714	65/8542	0.975454224496815	1	0.857267823297857	8613/11343/26007/55750/8611/253558/57678/8527/224/57104/1606/80339/441282/4023	14
Organismal Systems	Immune system	hsa04657	IL-17 signaling pathway	22/2714	95/8542	0.975485487748924	1	0.857267823297857	2354/2353/3725/7184/6280/6426/5595/6279/7186/1051/2920/3727/5600/727897/6364/5597/9618/5596/3326/6374/3934/3320	22
Human Diseases	Cardiovascular disease	hsa05417	Lipid and atherosclerosis	56/2714	216/8542	0.97561278894264	1	0.857267823297857	596/3329/948/2353/4846/54205/3725/3309/10451/7184/4773/5595/10000/91860/5295/3708/7494/6403/3654/2081/5335/7186/5468/19/7099/637/2920/805/5600/51135/3661/51806/842/4973/9619/7409/5330/4689/1536/929/7132/3326/5452/5170/6714/4780/4772/114548/4615/810/3320/4217/3308/839/3304/4893	56
Organismal Systems	Immune system	hsa04621	NOD-like receptor signaling pathway	48/2714	189/8542	0.977996793076205	1	0.857267823297857	10628/596/7295/118429/3725/7416/5595/8767/3716/3710/3708/6041/55914/7419/7417/7186/4671/7226/7531/64127/440738/7099/2920/5600/51135/3661/2634/7158/5330/22900/1536/64170/3709/3326/8737/23710/63940/11035/7297/114548/4615/330/10392/837/3320/5027/56919/81858	48
Genetic Information Processing	Translation	hsa03010	Ribosome	43/2714	172/8542	0.97954131148296	1	0.857267823297857	100529239/51121/29088/11222/6182/65005/63875/64968/29093/9801/54460/51069/64928/64960/64965/51081/64969/6122/6183/79590/51021/55168/51065/6156/200916/65008/51373/64979/6169/51073/23521/6171/6134/6173/28998/6203/29074/51263/6133/6144/6227/51023/6170	43
Metabolism	Glycan biosynthesis and metabolism	hsa00603	Glycosphingolipid biosynthesis - globo and isoglobo series	2/2714	16/8542	0.98144737064209	1	0.857267823297857	10690/53947	2
Human Diseases	Cancer: overview	hsa05204	Chemical carcinogenesis - DNA adducts	15/2714	71/8542	0.983316868871732	1	0.857267823297857	2949/2946/445329/9/1571/1577/2947/873/119391/6818/27306/2052/2950/6817/6799	15
Organismal Systems	Immune system	hsa04623	Cytosolic DNA-sensing pathway	18/2714	83/8542	0.984748851134535	1	0.857267823297857	90865/5435/10622/5437/51428/9533/103/10146/84265/3661/5440/10621/8737/81030/11035/114548/171568/10623	18
Human Diseases	Endocrine and metabolic disease	hsa04936	Alcoholic liver disease	34/2714	144/8542	0.988144415581301	1	0.857267823297857	32/1374/125/2308/5564/727/721/720/8310/10000/9020/9370/1571/718/3654/595/23417/126/7099/2920/224/5600/51135/3661/79966/37/929/7132/31/8737/4615/4217/51094/719	34
Metabolism	Carbohydrate metabolism	hsa00052	Galactose metabolism	5/2714	32/8542	0.988859747642315	1	0.857267823297857	2595/2582/8704/441282/8972	5
Human Diseases	Immune disease	hsa05320	Autoimmune thyroid disease	10/2714	54/8542	0.990481852162944	1	0.857267823297857	7173/3109/3115/3111/3108/3133/3117/3123/3113/3119	10
